TeamName,Year,Wins,Losses,OTLosses,GoalFor_GF,GoalAgainst_GA
                            Boston Bruins                        ,                            1990                        ,                            44                        ,                            24                        ,,                            299                        ,                            264                        
                            Buffalo Sabres                        ,                            1990                        ,                            31                        ,                            30                        ,,                            292                        ,                            278                        
                            Calgary Flames                        ,                            1990                        ,                            46                        ,                            26                        ,,                            344                        ,                            263                        
                            Chicago Blackhawks                        ,                            1990                        ,                            49                        ,                            23                        ,,                            284                        ,                            211                        
                            Detroit Red Wings                        ,                            1990                        ,                            34                        ,                            38                        ,,                            273                        ,                            298                        
                            Edmonton Oilers                        ,                            1990                        ,                            37                        ,                            37                        ,,                            272                        ,                            272                        
                            Hartford Whalers                        ,                            1990                        ,                            31                        ,                            38                        ,,                            238                        ,                            276                        
                            Los Angeles Kings                        ,                            1990                        ,                            46                        ,                            24                        ,,                            340                        ,                            254                        
                            Minnesota North Stars                        ,                            1990                        ,                            27                        ,                            39                        ,,                            256                        ,                            266                        
                            Montreal Canadiens                        ,                            1990                        ,                            39                        ,                            30                        ,,                            273                        ,                            249                        
                            New Jersey Devils                        ,                            1990                        ,                            32                        ,                            33                        ,,                            272                        ,                            264                        
                            New York Islanders                        ,                            1990                        ,                            25                        ,                            45                        ,,                            223                        ,                            290                        
                            New York Rangers                        ,                            1990                        ,                            36                        ,                            31                        ,,                            297                        ,                            265                        
                            Philadelphia Flyers                        ,                            1990                        ,                            33                        ,                            37                        ,,                            252                        ,                            267                        
                            Pittsburgh Penguins                        ,                            1990                        ,                            41                        ,                            33                        ,,                            342                        ,                            305                        
                            Quebec Nordiques                        ,                            1990                        ,                            16                        ,                            50                        ,,                            236                        ,                            354                        
                            St. Louis Blues                        ,                            1990                        ,                            47                        ,                            22                        ,,                            310                        ,                            250                        
                            Toronto Maple Leafs                        ,                            1990                        ,                            23                        ,                            46                        ,,                            241                        ,                            318                        
                            Vancouver Canucks                        ,                            1990                        ,                            28                        ,                            43                        ,,                            243                        ,                            315                        
                            Washington Capitals                        ,                            1990                        ,                            37                        ,                            36                        ,,                            258                        ,                            258                        
                            Winnipeg Jets                        ,                            1990                        ,                            26                        ,                            43                        ,,                            260                        ,                            288                        
                            Boston Bruins                        ,                            1991                        ,                            36                        ,                            32                        ,,                            270                        ,                            275                        
                            Buffalo Sabres                        ,                            1991                        ,                            31                        ,                            37                        ,,                            289                        ,                            299                        
                            Calgary Flames                        ,                            1991                        ,                            31                        ,                            37                        ,,                            296                        ,                            305                        
                            Chicago Blackhawks                        ,                            1991                        ,                            36                        ,                            29                        ,,                            257                        ,                            236                        
                            Detroit Red Wings                        ,                            1991                        ,                            43                        ,                            25                        ,,                            320                        ,                            256                        
                            Edmonton Oilers                        ,                            1991                        ,                            36                        ,                            34                        ,,                            295                        ,                            297                        
                            Hartford Whalers                        ,                            1991                        ,                            26                        ,                            41                        ,,                            247                        ,                            283                        
                            Los Angeles Kings                        ,                            1991                        ,                            35                        ,                            31                        ,,                            287                        ,                            296                        
                            Minnesota North Stars                        ,                            1991                        ,                            32                        ,                            42                        ,,                            246                        ,                            278                        
                            Montreal Canadiens                        ,                            1991                        ,                            41                        ,                            28                        ,,                            267                        ,                            207                        
                            New Jersey Devils                        ,                            1991                        ,                            38                        ,                            31                        ,,                            289                        ,                            259                        
                            New York Islanders                        ,                            1991                        ,                            34                        ,                            35                        ,,                            291                        ,                            299                        
                            New York Rangers                        ,                            1991                        ,                            50                        ,                            25                        ,,                            321                        ,                            246                        
                            Philadelphia Flyers                        ,                            1991                        ,                            32                        ,                            37                        ,,                            252                        ,                            273                        
                            Pittsburgh Penguins                        ,                            1991                        ,                            39                        ,                            32                        ,,                            343                        ,                            308                        
                            Quebec Nordiques                        ,                            1991                        ,                            20                        ,                            48                        ,,                            255                        ,                            318                        
                            San Jose Sharks                        ,                            1991                        ,                            17                        ,                            58                        ,,                            219                        ,                            359                        
                            St. Louis Blues                        ,                            1991                        ,                            36                        ,                            33                        ,,                            279                        ,                            266                        
                            Toronto Maple Leafs                        ,                            1991                        ,                            30                        ,                            43                        ,,                            234                        ,                            294                        
                            Vancouver Canucks                        ,                            1991                        ,                            42                        ,                            26                        ,,                            285                        ,                            250                        
                            Washington Capitals                        ,                            1991                        ,                            45                        ,                            27                        ,,                            330                        ,                            275                        
                            Winnipeg Jets                        ,                            1991                        ,                            33                        ,                            32                        ,,                            251                        ,                            244                        
                            Boston Bruins                        ,                            1992                        ,                            51                        ,                            26                        ,,                            332                        ,                            268                        
                            Buffalo Sabres                        ,                            1992                        ,                            38                        ,                            36                        ,,                            335                        ,                            297                        
                            Calgary Flames                        ,                            1992                        ,                            43                        ,                            30                        ,,                            322                        ,                            282                        
                            Chicago Blackhawks                        ,                            1992                        ,                            47                        ,                            25                        ,,                            279                        ,                            230                        
                            Detroit Red Wings                        ,                            1992                        ,                            47                        ,                            28                        ,,                            369                        ,                            280                        
                            Edmonton Oilers                        ,                            1992                        ,                            26                        ,                            50                        ,,                            242                        ,                            337                        
                            Hartford Whalers                        ,                            1992                        ,                            26                        ,                            52                        ,,                            284                        ,                            369                        
                            Los Angeles Kings                        ,                            1992                        ,                            39                        ,                            35                        ,,                            338                        ,                            340                        
                            Minnesota North Stars                        ,                            1992                        ,                            36                        ,                            38                        ,,                            272                        ,                            293                        
                            Montreal Canadiens                        ,                            1992                        ,                            48                        ,                            30                        ,,                            326                        ,                            280                        
                            New Jersey Devils                        ,                            1992                        ,                            40                        ,                            37                        ,,                            308                        ,                            299                        
                            New York Islanders                        ,                            1992                        ,                            40                        ,                            37                        ,,                            335                        ,                            297                        
                            New York Rangers                        ,                            1992                        ,                            34                        ,                            39                        ,,                            304                        ,                            308                        
                            Ottawa Senators                        ,                            1992                        ,                            10                        ,                            70                        ,,                            202                        ,                            395                        
                            Philadelphia Flyers                        ,                            1992                        ,                            36                        ,                            37                        ,,                            319                        ,                            319                        
                            Pittsburgh Penguins                        ,                            1992                        ,                            56                        ,                            21                        ,,                            367                        ,                            268                        
                            Quebec Nordiques                        ,                            1992                        ,                            47                        ,                            27                        ,,                            351                        ,                            300                        
                            San Jose Sharks                        ,                            1992                        ,                            11                        ,                            71                        ,,                            218                        ,                            414                        
                            St. Louis Blues                        ,                            1992                        ,                            37                        ,                            36                        ,,                            282                        ,                            278                        
                            Tampa Bay Lightning                        ,                            1992                        ,                            23                        ,                            54                        ,,                            245                        ,                            332                        
                            Toronto Maple Leafs                        ,                            1992                        ,                            44                        ,                            29                        ,,                            288                        ,                            241                        
                            Vancouver Canucks                        ,                            1992                        ,                            46                        ,                            29                        ,,                            346                        ,                            278                        
                            Washington Capitals                        ,                            1992                        ,                            43                        ,                            34                        ,,                            325                        ,                            286                        
                            Winnipeg Jets                        ,                            1992                        ,                            40                        ,                            37                        ,,                            322                        ,                            320                        
                            Mighty Ducks of Anaheim                        ,                            1993                        ,                            33                        ,                            46                        ,,                            229                        ,                            251                        
                            Boston Bruins                        ,                            1993                        ,                            42                        ,                            29                        ,,                            289                        ,                            252                        
                            Buffalo Sabres                        ,                            1993                        ,                            43                        ,                            32                        ,,                            282                        ,                            218                        
                            Calgary Flames                        ,                            1993                        ,                            42                        ,                            29                        ,,                            302                        ,                            256                        
                            Chicago Blackhawks                        ,                            1993                        ,                            39                        ,                            36                        ,,                            254                        ,                            240                        
                            Dallas Stars                        ,                            1993                        ,                            42                        ,                            29                        ,,                            286                        ,                            265                        
                            Detroit Red Wings                        ,                            1993                        ,                            46                        ,                            30                        ,,                            356                        ,                            275                        
                            Edmonton Oilers                        ,                            1993                        ,                            25                        ,                            45                        ,,                            261                        ,                            305                        
